French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
pourrais,could
type,type
donné,given
train,train
endroit,place
façon,way
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
